priority,item_id,title,status,rationale,depends_on,not_before,notes
P1,ARCH-P1-005,Time-Aware Replay Contract v1,planned,Make point-in-time run/report/manifest reconstruction explicit,ARCH-P0-003,after_decision_capture_usage,Minimal replay refs are already embedded in Decision Capture v2
P1,ARCH-P1-006,Decision Benchmarking Contract v1,planned,Define benchmark alternative and later comparison basis per decision,ARCH-P0-003,after_decision_capture_usage,No return calculation in Decision Capture v1
P1,ARCH-P1-007,Minimum Viable Research Note,planned,Add small research note structure without thesis bloat,ARCH-P0-003,after_decision_capture_usage,Must fit operator time budget
P1,ARCH-P1-008,Research Case Workbench,planned,Only after minimum viable research notes show real operator value,ARCH-P1-007,after_mvrn_usage,Do not introduce thesis bloat prematurely
P1,ARCH-P1-009,Portfolio Event Ledger,planned,Operationalize the lightweight event-ledger MVP after contract and Decision Capture usage evidence,ARCH-P0N-001,after_contract_acceptance,No broker writes and no tax claims without evidence
P1,ARCH-P1-010,Review Date Queue,planned,Surface due and overdue Decision Capture reviews,ARCH-P0-007,after_decision_capture_usage,No automatic decision status changes
P1,ARCH-P1-011,Dashboard Operator Cockpit,planned,Consolidate operator actions blockers and reviews from processed artifacts,ARCH-P0-006,after_readiness_contracts,Dashboard remains consolidation only
P2,ARCH-P2-001,Strategy Feedback Report,planned,Summarize recurring issues and candidate policy changes,ARCH-P1-004,after_outcome_history,Propose only; do not auto-change policy
P2,ARCH-P2-002,Policy Change Proposal Template,planned,Standardize human-reviewed rule changes,ARCH-P2-001,after_strategy_feedback,No automatic scoring updates
P2,ARCH-P2-003,Ledger hardening extensions,planned,Extend reviewed ledger behavior only after MVP usage evidence,ARCH-P1-009,after_event_ledger_mvp,No raw master mutation
P2,ARCH-P2-004,Cash / Tax / FX State extensions,planned,Extend accounting state after event model exists,ARCH-P2-003,after_event_ledger,Keep documented evidence requirements
P2,ARCH-P2-005,Outcome Attribution,planned,Describe realized decision outcomes after sufficient captured decision history,ARCH-P1-004,after_real_decision_history,No optimization or alpha claims
P2,ARCH-P2-006,Opportunity Cost Review,planned,Compare decisions with preserved benchmark alternatives once data exists,ARCH-P1-006,after_outcome_history,No return calculation before replay basis exists
P2,ARCH-P2-007,Policy Feedback Reports,planned,Propose policy changes from observed recurring evidence,ARCH-P2-001,after_outcome_history,Human-reviewed proposals only
P3,ARCH-P3-001,Monte Carlo,deferred,Scenario analysis is premature before decisions and accounting history exist,ARCH-P2-003,not_before_foundations,Deferred
P3,ARCH-P3-002,Backtesting / Rule Replay,deferred,Point-in-time replay requires captured decisions and data snapshots,ARCH-P1-005,not_before_replay_history,Deferred
P3,ARCH-P3-003,Simulation Lab,deferred,Cash/dividend/drawdown simulation needs ledger and outcome basis,ARCH-P2-003,not_before_event_ledger,Deferred
P3,ARCH-P3-004,Advanced Research Workbench Expansion,deferred,Heavy research tooling should wait for minimum viable notes and P1 workbench usage,ARCH-P1-008,not_before_workbench_usage,Deferred
P3,ARCH-P3-005,Runtime LLM Commentary Layer,deferred,Core pipeline must not depend on runtime LLM commentary,ARCH-P0-004,not_before_policy_review,Deferred
P3,ARCH-P3-006,Web/SaaS productization,deferred,Productization follows stable local OS contracts,ARCH-P0-003,not_before_stable_workflows,Deferred
