capability_id,display_name,declared_status,scope_classification,declared_scope,known_gaps_or_next_action,discovered_local_entry_point,inputs_found,outputs_generated_or_observed,tests_declared,command_executed_or_state,executable_from_repo_state,conservative_state,reason
fundamentals_evidence_registry,Fundamentals Evidence Registry,implemented,implemented,No automatic web/API extraction or master mutation.,Continue explicit evidence review paths.,src/fundamentals_evidence_engine.py,data/raw/personal_fundamentals_evidence.csv,none_observed_in_outputs_capability_execution_audit,tests/test_fundamentals_evidence_engine.py; tests/test_fundamentals_evidence_compose.py; tests/test_fundamentals_evidence_apply.py,NOT_EXECUTABLE_FROM_REPO_STATE,review,REVIEW,"Entry point exists, but no audit output artifact was found and safe complete inputs were not inferred."
kpi_coverage_provenance,KPI Coverage And Provenance,implemented,implemented,Missing KPIs remain visible; no imputation.,Feed future freshness/staleness contract.,src/fundamentals_master.py,data/raw/personal_fundamentals_master.csv; data/processed/personal_company_scores.csv,none_observed_in_outputs_capability_execution_audit,tests/test_fundamentals_master.py; tests/test_personal_kpi_tier_coverage.py,NOT_EXECUTABLE_FROM_REPO_STATE,review,REVIEW,"Entry point exists, but no audit output artifact was found and safe complete inputs were not inferred."
watchlist_engine,Watchlist Engine,implemented,implemented,Watchlist lifecycle governance is not complete.,Add Watchlist Lifecycle Contract later.,src/watchlist_engine.py,data/raw/watchlist.csv; data/processed/personal_company_scores.csv,outputs/capability_execution_audit/processed/watchlist_ranked.csv,tests/test_watchlist_engine.py,OUTPUT_OBSERVED_COMMAND_NOT_RECORDED,yes_review_evidence,READY_FOR_REVIEW,Audit output artifact exists; original exact command is not recorded in local audit artifact set.
scoring_engine,Scoring Engine,implemented,implemented,No score formula change in this status map; missing data remains conservative.,Keep score changes behind separate review.,src/scoring_engine.py,data/processed/personal_positions_snapshot.csv; data/raw/personal_fundamentals_master.csv,none_observed_in_outputs_capability_execution_audit,tests/test_scoring_engine.py,NOT_EXECUTABLE_FROM_REPO_STATE,review,REVIEW,"Entry point exists, but no audit output artifact was found and safe complete inputs were not inferred."
monthly_ranking_engine,Monthly Ranking Engine,implemented,implemented,"Ranking is decision support, not a buy decision.",Add Ranking Robustness / Sensitivity later.,src/monthly_ranking_engine.py,data/processed/personal_positions_snapshot.csv; data/processed/personal_company_scores.csv; data/processed/watchlist_ranked.csv,outputs/capability_execution_audit/processed/rebalance_proposals.csv,tests/test_monthly_ranking_engine.py,OUTPUT_OBSERVED_COMMAND_NOT_RECORDED,yes_review_evidence,READY_FOR_REVIEW,Audit output artifact exists; original exact command is not recorded in local audit artifact set.
cash_refill_review,Cash Refill Review,implemented,implemented,Read-only review; no cash movement or order.,Use only as Decision Quality input.,src/cash_refill_review.py,data/processed/personal_positions_snapshot.csv; configs/portfolio_rules.yaml,outputs/capability_execution_audit/processed/personal_cash_refill_review.csv,tests/test_cash_refill_review.py,OUTPUT_OBSERVED_COMMAND_NOT_RECORDED,yes_review_evidence,READY_FOR_REVIEW,Audit output artifact exists; original exact command is not recorded in local audit artifact set.
rebalance_review,Rebalance Review,implemented,implemented,"Qualitative review only; no sells, tax amounts or orders.",Keep Portfolio Event Ledger separate.,src/rebalance_review.py,data/processed/personal_positions_snapshot.csv; configs/portfolio_rules.yaml,outputs/capability_execution_audit/processed/personal_rebalance_review.csv,tests/test_rebalance_review.py,OUTPUT_OBSERVED_COMMAND_NOT_RECORDED,yes_review_evidence,READY_FOR_REVIEW,Audit output artifact exists; original exact command is not recorded in local audit artifact set.
monthly_decision_report,Monthly Decision Report,implemented,implemented,"Report surface only; missing artifacts render NOT_AVAILABLE. | Data Freshness is surfaced as process evidence only; it is not investment confidence, replay approval, outcome attribution approval or an order signal. | In the standard personal_run_engine full-run order, the monthly stage runs before data_freshness; therefore final Data Freshness evidence is surfaced in reports/<date>/personal_run_report.md through Dashboard Operator Summary, while the Monthly Decision Report Data Freshness section is populated only when an explicit summary artifact is supplied to the builder or CLI.",Feed future dashboard surface contract.,src/build_monthly_decision_report.py,data/processed/personal_monthly_buy_ranking.csv; data/processed/decision_quality_state.csv; data/processed/decision_journal_validation.csv; data/processed/decision_review_queue.csv; data/processed/data_freshness_summary.json,outputs/capability_execution_audit/reports/2026-05-31/personal_monthly_decision_report.md,tests/test_monthly_decision_report.py,OUTPUT_OBSERVED_COMMAND_NOT_RECORDED,yes_review_evidence,READY_FOR_REVIEW,Audit output artifact exists; original exact command is not recorded in local audit artifact set.
monthly_portfolio_decision_brief,Monthly Portfolio Decision Brief,implemented,implemented,"Deterministic producer plus optional Personal Run stage; it consolidates existing evidence and does not change scoring, ranking, valuation, portfolio rules or upstream Personal Run stage semantics. | Generated real monthly decision brief outputs remain local/generated by default and are not committed as personal portfolio evidence. | The brief is operator review support, not investment advice, order execution, buy/sell automation or runtime enforcement.",External review of Personal Run integration before deciding whether to add sanitized example artifacts.,src/monthly_portfolio_decision_brief.py,data/processed/personal_monthly_buy_ranking.csv; data/processed/personal_cash_refill_review.csv; data/processed/personal_rebalance_review.csv; data/processed/data_freshness_summary.json; data/processed/decision_quality_state.json; data/processed/decision_review_queue.csv,outputs/capability_execution_audit/processed/monthly_portfolio_decision_brief.csv; outputs/capability_execution_audit/processed/monthly_portfolio_decision_brief.json; outputs/capability_execution_audit/reports/2026-05-31/monthly_portfolio_decision_brief.md,tests/test_monthly_portfolio_decision_brief.py; tests/test_personal_run_engine.py,OUTPUT_OBSERVED_COMMAND_NOT_RECORDED,yes_review_evidence,READY_FOR_REVIEW,Audit output artifact exists; original exact command is not recorded in local audit artifact set.
personal_run_engine,Personal Run Engine,implemented,implemented,"Stage-DAG documentation now maps the current linear orchestrator and review-time dependencies; this is not a replay engine, event ledger or outcome attribution layer.",Keep Data Freshness lineage aligned with future dashboard/replay contracts.,src/personal_run_engine.py,configs/personal_run_data_sources.yaml,outputs/capability_execution_audit/processed/data_freshness_summary.json; outputs/capability_execution_audit/processed/monthly_portfolio_decision_brief.csv; outputs/capability_execution_audit/processed/monthly_portfolio_decision_brief.json; outputs/capability_execution_audit/reports/2026-05-31/monthly_portfolio_decision_brief.md,tests/test_personal_run_engine.py,OUTPUT_OBSERVED_COMMAND_NOT_RECORDED,yes_review_evidence,READY_FOR_REVIEW,Audit output artifact exists; original exact command is not recorded in local audit artifact set.
personal_input_closure,Personal Input Closure,implemented,implemented,Aggregates readiness only; no data filling or imputation.,Use as mandatory Decision Quality input.,src/personal_input_closure.py,data/processed/personal_watchlist_input_gate_summary.csv; data/processed/personal_valuation_input_contract_summary.csv; data/processed/personal_dividend_fcf_input_contract_summary.csv; data/processed/personal_kpi_provenance_summary.csv,outputs/capability_execution_audit/processed/personal_input_closure_report.csv; outputs/capability_execution_audit/reports/2026-05-31/personal_input_closure_report.md,tests/test_personal_input_closure.py,OUTPUT_OBSERVED_COMMAND_NOT_RECORDED,yes_review_evidence,READY_FOR_REVIEW,Audit output artifact exists; original exact command is not recorded in local audit artifact set.
decision_capture,Decision Capture,implemented,implemented,Append-only human-operated journal; no order or outcome attribution.,Continue validation via review queue.,src/personal_decision_state_capture.py,data/processed/personal_decision_state_capture.csv,outputs/capability_execution_audit/processed/personal_decision_state_capture.csv; outputs/capability_execution_audit/reports/2026-05-31/personal_decision_state_capture_report.md,tests/test_personal_decision_state_capture.py,OUTPUT_OBSERVED_COMMAND_NOT_RECORDED,yes_review_evidence,READY_FOR_REVIEW,Audit output artifact exists; original exact command is not recorded in local audit artifact set.
decision_quality_state,Decision Quality State,implemented,implemented,"Ranking robustness, sensitivity, scenario and tail risk remain NOT_EVALUATED.",Define dashboard surface contract before broad UI.,src/personal_decision_quality_state.py,data/processed/personal_input_closure_report.csv; data/processed/personal_decision_state_capture.csv; data/processed/personal_run_manifest.json; data/processed/personal_run_used_inputs.csv,outputs/capability_execution_audit/processed/decision_quality_state.csv; outputs/capability_execution_audit/processed/decision_quality_state.json; outputs/capability_execution_audit/reports/2026-05-31/decision_quality_report.md,tests/test_personal_decision_quality_state.py,OUTPUT_OBSERVED_COMMAND_NOT_RECORDED,yes_review_evidence,READY_FOR_REVIEW,Audit output artifact exists; original exact command is not recorded in local audit artifact set.
decision_journal_validation,Decision Journal Validation,implemented,implemented,MVP stale-state threshold is strict at zero days.,Consider stale-state contract after review.,src/personal_decision_journal_validation.py,data/processed/personal_decision_state_capture.csv; data/processed/decision_quality_state.json,outputs/capability_execution_audit/processed/decision_journal_validation.csv; outputs/capability_execution_audit/reports/2026-05-31/decision_journal_validation_report.md,tests/test_personal_decision_journal_validation.py,OUTPUT_OBSERVED_COMMAND_NOT_RECORDED,yes_review_evidence,READY_FOR_REVIEW,Audit output artifact exists; original exact command is not recorded in local audit artifact set.
decision_review_queue,Decision Review Queue,implemented,implemented,Queue is operator follow-up only; no automatic correction or decision creation.,Surface queue summary in dashboard contract.,src/personal_decision_journal_validation.py,data/processed/decision_journal_validation.csv; data/processed/decision_quality_state.json,outputs/capability_execution_audit/processed/decision_review_queue.csv,tests/test_personal_decision_journal_validation.py,OUTPUT_OBSERVED_COMMAND_NOT_RECORDED,yes_review_evidence,READY_FOR_REVIEW,Audit output artifact exists; original exact command is not recorded in local audit artifact set.
handoff_export_governance,Handoff Export Governance,implemented,implemented,"Private/raw inputs are excluded, so ZIP-only test reproducibility can be limited.",Keep external context authoritative over ZIP-internal exporter context.,src/handoff_zip_export.py,external_review_packet/,none_observed_in_outputs_capability_execution_audit,tests/test_handoff_bundle.py; tests/test_handoff_zip_export.py,NOT_EXECUTABLE_FROM_REPO_STATE,review,REVIEW,"Entry point exists, but no audit output artifact was found and safe complete inputs were not inferred."
dashboard_operator_cockpit,Dashboard Operator Cockpit,partial,partial,"Dashboard Operator Surface Contract exists and Minimal Dashboard Operator Summary Producer exists, but no full visual operator cockpit redesign is implemented.",Use review_queue_summary.json as input to a future read-only dashboard surface.,src/dashboard_engine.py,data/processed/dashboard_kpis.csv; data/processed/dashboard_sections.csv,none_observed_in_outputs_capability_execution_audit,tests/test_dashboard_engine.py; tests/test_dashboard_server.py,NOT_EXECUTABLE_FROM_REPO_STATE,review,REVIEW,"Partial capability has an entry point, but execution depends on explicit safe inputs not inferred here."
dashboard_operator_summary,Dashboard Operator Summary,implemented,implemented,"Read-only machine summary only; no visual dashboard server/UI changes and no new investment logic. | Data Freshness counts, artifact expectation, artifact status and artifact reason are surfaced as governance state, but no visual dashboard freshness panel, replay gate or outcome attribution exists. | Freshness expected-missing, expected-unreadable and not-selected states are machine-distinguishable in the operator summary.",External review of DASHBOARD_FRESHNESS_OPERATOR_SURFACE_HARDENING before any visual dashboard expansion.,src/dashboard_operator_summary.py,data/processed/decision_journal_validation.csv; data/processed/decision_review_queue.csv; data/processed/decision_quality_state.json; data/processed/data_freshness_summary.json; data/processed/personal_run_manifest.json,outputs/capability_execution_audit/processed/review_queue_summary.json,tests/test_dashboard_freshness_surface_contract.py; tests/test_dashboard_operator_summary.py; tests/test_personal_run_engine.py,OUTPUT_OBSERVED_COMMAND_NOT_RECORDED,yes_review_evidence,READY_FOR_REVIEW,Audit output artifact exists; original exact command is not recorded in local audit artifact set.
meta_governance_baseline,Meta Governance Baseline,implemented,implemented,"Meta-baseline accepted with findings only; this is not feature, product, commercial, legal or investment readiness. | Domain gaps such as Instrument Master, Event Ledger, License Boundary, Replay and Outcome Attribution remain open.",Data Source Strategy & License Boundary.,NOT_FOUND,docs/architecture/CIOS_CURRENT_SYSTEM_MAP.md; docs/architecture/CURRENT_KNOWN_GAPS.md,none_observed_in_outputs_capability_execution_audit,tests/test_readme_and_reports.py,NOT_EXECUTABLE_FROM_REPO_STATE,no,NOT_EXECUTABLE_FROM_REPO_STATE,No clear safe local entry point and input set found from committed repo state.
portfolio_event_ledger,Portfolio Event Ledger,partial,partial,"Contract, architecture note, template-only placeholder and read-only template validation preflight exist, but there is no production event ledger database, runtime, broker import staging pipeline or automatic transaction classification. | No corporate-actions processing, FX engine, replay, performance attribution, outcome attribution, dashboard expansion, tax calculation or investment logic is implemented. | Existing cost/tax and broker-document modules remain specialized operational modules, not the canonical Portfolio Event Ledger.",External review packet refresh or Broker Import Staging Contract.,src/portfolio_event_ledger_validation.py,none_declared,none_observed_in_outputs_capability_execution_audit,tests/test_readme_and_reports.py; tests/test_portfolio_event_ledger_validation.py,NOT_EXECUTABLE_FROM_REPO_STATE,review,REVIEW,"Partial capability has an entry point, but execution depends on explicit safe inputs not inferred here."
portfolio_event_ledger_validation_preflight,Portfolio Event Ledger Template Validation Preflight,implemented,implemented,"Validates only the template and conservative boundaries; it does not create a production Event Ledger, accept events, parse broker files, classify transactions or enforce Personal Run runtime behavior. | Blocks accepted/validated template entries, real-looking broker/account/source IDs, real numeric amounts, missing event-type matrix fields, correction/reversal/supersession gaps, FX direction gaps and transfer boundary gaps. | A passing template is not legal, tax, commercial, investment, public-handoff or broker-import approval.",Broker Import Staging Contract or external review packet refresh before the next external delta review.,src/portfolio_event_ledger_validation.py,docs/architecture/CIOS_PORTFOLIO_EVENT_LEDGER_TEMPLATE.yaml,none_observed_in_outputs_capability_execution_audit,tests/test_portfolio_event_ledger_validation.py,NOT_EXECUTABLE_FROM_REPO_STATE,review,REVIEW,"Entry point exists, but no audit output artifact was found and safe complete inputs were not inferred."
time_aware_replay,Time-Aware Replay,planned,planned,"Replay requires event ledger, point-in-time inputs and freshness contracts.",Time-Aware Replay Contract after Event Ledger.,NOT_FOUND,none_declared,none_observed_in_outputs_capability_execution_audit,none_declared,NOT_EXECUTABLE_FROM_REPO_STATE,no,NOT_IMPLEMENTED,Declared status is planned; no safe runtime execution inferred.
outcome_attribution,Outcome Attribution,planned,planned,"No outcome ledger, calibration or regret scoreboard exists yet.",Defer until Event Ledger and replay exist.,NOT_FOUND,none_declared,none_observed_in_outputs_capability_execution_audit,none_declared,NOT_EXECUTABLE_FROM_REPO_STATE,no,NOT_IMPLEMENTED,Declared status is planned; no safe runtime execution inferred.
ranking_robustness_sensitivity,Ranking Robustness And Sensitivity,planned,planned,Reserved as NOT_EVALUATED in Decision Quality; no producer yet.,Ranking Robustness / Sensitivity producer after dashboard contract.,NOT_FOUND,data/processed/personal_monthly_buy_ranking.csv; data/processed/personal_score_audit.csv,none_observed_in_outputs_capability_execution_audit,none_declared,NOT_EXECUTABLE_FROM_REPO_STATE,no,NOT_IMPLEMENTED,Declared status is planned; no safe runtime execution inferred.
research_case_workbench,Research Case Workbench,planned,planned,Structured research cases are not implemented.,Research Case Workbench MVP.,NOT_FOUND,none_declared,none_observed_in_outputs_capability_execution_audit,none_declared,NOT_EXECUTABLE_FROM_REPO_STATE,no,NOT_IMPLEMENTED,Declared status is planned; no safe runtime execution inferred.
valuation_layer,Valuation Layer,partial,partial,"Valuation inputs are reviewed, but no full valuation workbench exists. | Valuation engine behavioral tests cover current deterministic formula behavior and missing/invalid data semantics, but this is not valuation automation, investment advice or investment readiness. | Valuation input provenance/conflict review is read-only evidence; it does not feed values into scoring, does not resolve conflicts and does not implement valuation automation. | Valuation input temporal integrity review is read-only evidence; it checks date ordering against explicit as_of_date and does not implement replay, backtesting or valuation automation. | Valuation/scoring semantic decision-quality review is read-only static evidence for wording and interpretation risks; it does not change formulas, rankings, buy/sell behavior or operator acceptance. | Operator-surface wording hardening maps risky internal valuation/scoring terms to bounded report wording only; internal formulas, rankings, target actions and buy/sell semantics are unchanged. | Valuation methodology boundary contract defines pre-DCF methodology preconditions, but no DCF engine, valuation automation, provider ingestion or formula change is implemented. | Valuation methodology proposal template is proposal/governance-only; it does not implement DCF, valuation automation, scoring integration, ranking integration or investment readiness.","External review of valuation methodology proposal template before any valuation methodology implementation, DCF work or scoring formula change.",src/valuation_engine.py,data/processed/personal_valuation_input_review_queue.csv; data/raw/private/fundamentals/personal_valuation_review_input.csv; data/processed/personal_valuation_input_provenance_review.csv,none_observed_in_outputs_capability_execution_audit,tests/test_personal_valuation_input_contract.py; tests/test_valuation_methodology_boundary_contract.py; tests/test_valuation_methodology_proposal_template.py; tests/test_valuation_engine_behavior.py; tests/test_valuation_input_provenance_review.py; tests/test_valuation_input_temporal_integrity_review.py; tests/test_valuation_scoring_semantic_decision_quality_review.py; tests/test_operator_surface_wording.py,NOT_EXECUTABLE_FROM_REPO_STATE,review,REVIEW,"Partial capability has an entry point, but execution depends on explicit safe inputs not inferred here."
simulation_backtesting_monte_carlo,Simulation Backtesting Monte Carlo,deferred,deferred,Deferred to avoid false precision before replay and outcome foundations.,Do not implement before Event Ledger and replay.,NOT_FOUND,none_declared,none_observed_in_outputs_capability_execution_audit,none_declared,SKIPPED_DEFERRED_SCOPE,no,ACCEPTED_DEFERRED,Deferred capability was not executed by guardrail.
data_freshness_staleness,Data Freshness And Staleness,partial,partial,"Cross-system freshness contract, thresholds, producer, personal_run_engine stage, operator-summary fields and explicit Monthly Decision Report builder/CLI surface exist, but the standard full-run monthly stage is earlier than data_freshness; final full-run operator visibility is through Personal Run Report / Dashboard Operator Summary. | Dashboard Freshness Surface Contract defines operator-surface obligations; operator-summary runtime now distinguishes readable, expected-missing, expected-unreadable and not-selected Freshness artifacts. | No visual dashboard freshness panel, replay gate or outcome-attribution gate is implemented. | The MVP producer uses explicit date fields only; file modified time is not treated as sufficient FRESH evidence.",External review of dashboard Freshness operator-surface hardening; do not add replay or outcome gates before their contracts exist.,src/data_freshness.py,configs/data_freshness_thresholds.yaml; data/processed/,outputs/capability_execution_audit/processed/data_freshness_summary.json; outputs/capability_execution_audit/reports/2026-05-31/data_freshness_summary.md,tests/test_dashboard_freshness_surface_contract.py; tests/test_data_freshness.py; tests/test_personal_artifact_freshness.py; tests/test_personal_decision_journal_validation.py,OUTPUT_OBSERVED_COMMAND_NOT_RECORDED,yes_review_evidence,READY_FOR_REVIEW,Audit output artifact exists; original exact command is not recorded in local audit artifact set.
corporate_actions,Corporate Actions,unknown,unknown,No sufficiently clear active corporate-actions module was verified for this map.,Inventory and define Corporate Actions input contract if needed.,NOT_FOUND,none_declared,none_observed_in_outputs_capability_execution_audit,none_declared,NOT_EXECUTABLE_FROM_REPO_STATE,no,NOT_EXECUTABLE_FROM_REPO_STATE,Declared status is unknown; no safe runtime execution inferred.
dividend_cashflow_forecasting,Dividend Cashflow Forecasting,partial,partial,Dividend/FCF input review exists; full dividend cashflow forecast is not implemented.,Dividend Cashflow Forecasting design.,src/personal_dividend_fcf_input_contract.py,data/processed/personal_dividend_fcf_input_review_queue.csv,none_observed_in_outputs_capability_execution_audit,tests/test_personal_dividend_fcf_input_contract.py,NOT_EXECUTABLE_FROM_REPO_STATE,review,REVIEW,"Partial capability has an entry point, but execution depends on explicit safe inputs not inferred here."
tax_aware_review_data,Tax-Aware Review Data,partial,partial,"Cost/tax artifacts exist, but tax quantification for decisions is out of scope.",Tax-aware review data contract later.,src/cost_tax_engine.py,data/raw/,none_observed_in_outputs_capability_execution_audit,tests/test_cost_tax_engine.py; tests/test_cost_tax_archive_engine.py,NOT_EXECUTABLE_FROM_REPO_STATE,review,REVIEW,"Partial capability has an entry point, but execution depends on explicit safe inputs not inferred here."
governance_policy_docs,Governance Policy Docs,partial,partial,Policy exists as governance documentation only; no runtime policy engine or executing policy module exists.,Keep policy feedback deferred until outcome foundations exist.,NOT_FOUND,docs/architecture/06_ADOPTED_DECISIONS.yaml,none_observed_in_outputs_capability_execution_audit,none_declared,NOT_EXECUTABLE_FROM_REPO_STATE,no,NOT_EXECUTABLE_FROM_REPO_STATE,No clear safe local entry point and input set found from committed repo state.
external_review_coverage_standard,External Review Coverage Standard,partial,partial,"Does not implement review gates as runtime enforcement. | Does not imply product readiness, investment readiness, broker import readiness, replay readiness, backtesting readiness, dashboard readiness or outcome-attribution readiness. | Clean-room reproduction and cross-patch regression are defined as gates, not fully automated release workflows.",Run the read-only Cross-Patch Regression producer before future kernel-patch acceptance; clean-room reproduction remains separate.,NOT_FOUND,external_review_packet/HANDOFF_LATEST.zip; external_review_packet/HANDOFF_LATEST_CONTEXT.md,none_observed_in_outputs_capability_execution_audit,tests/test_readme_and_reports.py,NOT_EXECUTABLE_FROM_REPO_STATE,no,NOT_EXECUTABLE_FROM_REPO_STATE,No clear safe local entry point and input set found from committed repo state.
cross_patch_regression_review,Cross-Patch Regression Review,implemented,implemented,"Read-only governance regression producer; it does not implement runtime enforcement, clean-room automation, release acceptance, product readiness or investment readiness. | Findings are review evidence for the Human Operator; they are not automatic release approval. | Handoff commands recorded as RECORDED remain distinct from executed pass/fail logs.",Keep as prerequisite evidence for future kernel-patch acceptance and release-gate reviews.,src/external_review_cross_patch_regression.py,docs/governance/EXTERNAL_REVIEW_COVERAGE_STANDARD.md; docs/governance/EXTERNAL_REVIEW_GATE_REGISTRY.yaml; docs/governance/EXTERNAL_REVIEW_GATE_SEQUENCE.md; docs/architecture/CIOS_FEATURE_STATUS.yaml; docs/architecture/CURRENT_KNOWN_GAPS.md; external_review_packet/HANDOFF_LATEST_CONTEXT.md,none_observed_in_outputs_capability_execution_audit,tests/test_external_review_cross_patch_regression.py,NOT_EXECUTABLE_FROM_REPO_STATE,review,REVIEW,"Entry point exists, but no audit output artifact was found and safe complete inputs were not inferred."
clean_room_reproduction_review,Clean-Room Reproduction Review,implemented,implemented,"Read-only packet reproduction producer; it does not implement CI clean-room automation, runtime enforcement, release acceptance, product readiness or investment readiness. | It validates external packet metadata, SHA/ZIP integrity, context alignment, required review files, validation-reality semantics and Cross-Patch-Regression reproduction counts, not private/raw/broker/provider data. | Handoff commands recorded as RECORDED remain distinct from executed pass/fail logs; missing pytest/ruff remain environment limitations unless installed and run.",Keep as packet-reproduction evidence for future handoff reviews.,src/clean_room_reproduction_review.py,external_review_packet/00_READ_ME_FIRST.md; external_review_packet/HANDOFF_LATEST_CONTEXT.md; external_review_packet/HANDOFF_LATEST.sha256; external_review_packet/HANDOFF_LATEST.zip,none_observed_in_outputs_capability_execution_audit,tests/test_clean_room_reproduction_review.py,NOT_EXECUTABLE_FROM_REPO_STATE,review,REVIEW,"Entry point exists, but no audit output artifact was found and safe complete inputs were not inferred."
